player,player_id,season,url_school,school,rsci
Parker Wentz,parker-wentz-1,2014,abilene-christian,Abilene Christian,NA
Julian Edmonson,julian-edmonson-1,2014,abilene-christian,Abilene Christian,NA
Austin Cooke,austin-cooke-1,2014,abilene-christian,Abilene Christian,NA
Jacob Lancaster,jacob-lancaster-1,2014,abilene-christian,Abilene Christian,NA
Harrison Hawkins,harrison-hawkins-1,2014,abilene-christian,Abilene Christian,NA
LaDarrien Williams,ladarrien-williams-1,2014,abilene-christian,Abilene Christian,NA
Michael Grant,michael-grant-2,2014,abilene-christian,Abilene Christian,NA
James Pegues,james-pegues-1,2014,abilene-christian,Abilene Christian,NA
Rafael Farley,rafael-farley-1,2014,abilene-christian,Abilene Christian,NA
Riley Payne,riley-payne-1,2014,abilene-christian,Abilene Christian,NA
Alexsander Milosavljevic,alexsander-milosavljevic-1,2014,abilene-christian,Abilene Christian,NA
Chris Blakeley,chris-blakeley-1,2014,abilene-christian,Abilene Christian,NA
Tre' Coggins,tre-coggins-1,2014,air-force,Air Force,NA
Max Yon,max-yon-1,2014,air-force,Air Force,NA
Marek Olesinski,marek-olesinski-1,2014,air-force,Air Force,NA
Kamryn Williams,kamryn-williams-1,2014,air-force,Air Force,NA
Justin Hammonds,justin-hammonds-1,2014,air-force,Air Force,NA
DeLovell Earls,delovell-earls-1,2014,air-force,Air Force,NA
Zach Kocur,zach-kocur-1,2014,air-force,Air Force,NA
Darrius Parker,darrius-parker-1,2014,air-force,Air Force,NA
Hayden Graham,hayden-graham-1,2014,air-force,Air Force,NA
Chase Kammerer,chase-kammerer-1,2014,air-force,Air Force,NA
Zach Moer,zach-moer-1,2014,air-force,Air Force,NA
Nick Jorgensen,nick-jorgensen-1,2014,air-force,Air Force,NA
Callum Long,callum-long-1,2014,air-force,Air Force,NA
Ethan Michael,ethan-michael-1,2014,air-force,Air Force,NA
Scott Adler,scott-adler-1,2014,air-force,Air Force,NA
Joe Tuss,joe-tuss-1,2014,air-force,Air Force,NA
Austin Flues,austin-flues-1,2014,air-force,Air Force,NA
Demetrius Treadwell,demetrius-treadwell-1,2014,akron,Akron,NA
Quincy Diggs,quincy-diggs-1,2014,akron,Akron,NA
Nick Harney,nick-harney-1,2014,akron,Akron,NA
Jake Kretzer,jake-kretzer-1,2014,akron,Akron,NA
Reggie McAdams,reggie-mcadams-1,2014,akron,Akron,NA
Nyles Evans,nyles-evans-1,2014,akron,Akron,NA
Pat Forsythe,pat-forsythe-1,2014,akron,Akron,NA
Adedeji Ibitayo,adedeji-ibitayo-1,2014,akron,Akron,NA
Isaiah Johnson,isaiah-johnson-1,2014,akron,Akron,NA
Carmelo Betancourt,carmelo-betancourt-1,2014,akron,Akron,NA
Kwan Cheatham,kwan-cheatham-1,2014,akron,Akron,NA
Mark Noble,mark-noble-1,2014,akron,Akron,NA
Jeremy Crutcher,jeremy-crutcher-1,2014,alabama-am,Alabama A&M,NA
Brandon Ellis,brandon-ellis-1,2014,alabama-am,Alabama A&M,NA
Demarquelle Tabb,demarquelle-tabb-1,2014,alabama-am,Alabama A&M,NA
Arthur Capers,arther-capers-1,2014,alabama-am,Alabama A&M,NA
Green Hill,green-hill-1,2014,alabama-am,Alabama A&M,NA
Nicholas West,nicholas-west-1,2014,alabama-am,Alabama A&M,NA
Justin Banks,justin-banks-1,2014,alabama-am,Alabama A&M,NA
Justin Colvin,justin-colvin-1,2014,alabama-am,Alabama A&M,NA
Jose Long,jose-long-1,2014,alabama-am,Alabama A&M,NA
Tyler Davis,tyler-davis-3,2014,alabama-am,Alabama A&M,NA
Jerome Hunter,jerome-hunter-1,2014,alabama-am,Alabama A&M,NA
Rakiya Battle,rakiya-battle-1,2014,alabama-am,Alabama A&M,NA
Baryn Houston,baryn-houston-1,2014,alabama-am,Alabama A&M,NA
Xavier Williams,xavier-williams-1,2014,alabama-am,Alabama A&M,NA
Matthew Cotton,matthew-cotton-1,2014,alabama-am,Alabama A&M,NA
Chad Frazier,chad-frazier-1,2014,alabama-birmingham,Alabama-Birmingham,NA
C.J. Washington,cj-washington-2,2014,alabama-birmingham,Alabama-Birmingham,NA
Rod Rucker,rod-rucker-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Fahro Alihodzic,fahro-alihodzic-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Robert Williams,robert-williams-2,2014,alabama-birmingham,Alabama-Birmingham,NA
Jordan Swing,jordan-swing-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Denzell Watts,denzell-watts-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Tosin Mehinti,tosin-mehinti-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Tyler Madison,tyler-madison-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Preston Purifoy,preston-purifoy-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Thaddeus Rideau,thaddeus-rideau-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Karl Moton,karl-moton-1,2014,alabama-birmingham,Alabama-Birmingham,NA
Jamel Waters,jamel-waters-1,2014,alabama-state,Alabama State,NA
DeMarcus Robinson,demarcus-robinson-1,2014,alabama-state,Alabama State,NA
Brandon Graham,brandon-graham-1,2014,alabama-state,Alabama State,NA
Maurice Strong,maurice-strong-2,2014,alabama-state,Alabama State,NA
Bobby Brown,bobby-brown-2,2014,alabama-state,Alabama State,NA
Luther Page,luther-page-1,2014,alabama-state,Alabama State,NA
Terrance LeFlore,terrance-leflore-1,2014,alabama-state,Alabama State,NA
Tony Armstrong,tony-armstrong-1,2014,alabama-state,Alabama State,NA
Billy Ingram,billy-ingram-1,2014,alabama-state,Alabama State,NA
DeAngelo Stewart,deangelo-stewart-1,2014,alabama-state,Alabama State,NA
Tony Jacob,tony-jacob-1,2014,alabama-state,Alabama State,NA
Darius Scott,darius-scott-1,2014,alabama-state,Alabama State,NA
Nick Davis,nick-davis-2,2014,alabama-state,Alabama State,NA
Devonte' Neal,devonte-neal-1,2014,alabama-state,Alabama State,NA
Sean Burroughs,sean-burroughs-1,2014,alabama-state,Alabama State,NA
Trevor Releford,trevor-releford-1,2014,alabama,Alabama,60 (2010)
Levi Randolph,levi-randolph-1,2014,alabama,Alabama,29 (2011)
Retin Obasohan,retin-obasohan-1,2014,alabama,Alabama,
Shannon Hale,shannon-hale-1,2014,alabama,Alabama,
