school,url_school,location
Abilene Christian Wildcats,abilene-christian,"Abilene, Texas"
Air Force Falcons,air-force,"USAF Academy, Colorado"
Akron Zips,akron,"Akron, Ohio"
Alabama A&M Bulldogs,alabama-am,"Normal, Alabama"
Alabama Crimson Tide,alabama,"Tuscaloosa, Alabama"
Alabama State Hornets,alabama-state,"Montgomery, Alabama"
Alabama-Birmingham Blazers,alabama-birmingham,"Birmingham, Alabama"
Albany (NY) Great Danes,albany-ny,"Albany, New York"
Alcorn State Braves,alcorn-state,"Alcorn State, Mississippi"
Allegheny Gators,allegheny,"Meadville, Pennsylvania"
American Eagles,american,"Washington, D.C."
Amherst Lord Jeffs,amherst,"Amherst, Massachusetts"
Appalachian State Mountaineers,appalachian-state,"Boone, North Carolina"
Arizona State Sun Devils,arizona-state,"Tempe, Arizona"
Arizona Wildcats,arizona,"Tucson, Arizona"
Arkansas Razorbacks,arkansas,"Fayetteville, Arkansas"
Arkansas State Red Wolves,arkansas-state,"State University, Arkansas"
Arkansas-Pine Bluff Golden Lions,arkansas-pine-bluff,"Pine Bluff, Arkansas"
Armstrong Pirates,armstrong,"Savannah, Georgia"
Army Black Knights,army,"West Point, New York"
Auburn Tigers,auburn,"Auburn, Alabama"
Augusta State Jaguars,augusta-state,"Augusta, Georgia"
Augustana (IL) Vikings,augustana-il,"Rock Island, Illinois"
Austin Peay Governors,austin-peay,"Clarksville, Tennessee"
Baker University Wildcats,baker-university,"Baldwin City, Kansas"
Baldwin-Wallace Yellow Jackets,baldwin-wallace,"Berea, Ohio"
Ball State Cardinals,ball-state,"Muncie, Indiana"
Baltimore Super Bees,baltimore,"Baltimore, Maryland"
Baylor Bears,baylor,"Waco, Texas"
Belmont Bruins,belmont,"Nashville, Tennessee"
Beloit Buccaneers,beloit,"Beloit, Wisconsin"
Bethune-Cookman Wildcats,bethune-cookman,"Daytona Beach, Florida"
Binghamton Bearcats,binghamton,"Binghamton, New York"
Birmingham-Southern Panthers,birmingham-southern,"Birmingham, Alabama"
Bloomsburg Huskies,bloomsburg,"Bloomsburg, Pennsylvania"
Boise State Broncos,boise-state,"Boise, Idaho"
Boston College Eagles,boston-college,"Chestnut Hill, Massachusetts"
Boston University Terriers,boston-university,"Boston, Massachusetts"
Bowling Green State Falcons,bowling-green-state,"Bowling Green, Ohio"
Bradley Braves,bradley,"Peoria, Illinois"
Brigham Young College ,brigham-young-college,"Logan, Utah"
Brigham Young Cougars,brigham-young,"Provo, Utah"
Brooklyn Bulldogs,brooklyn,"Brooklyn, New York"
Brown Bears,brown,"Providence, Rhode Island"
Bryant Bulldogs,bryant,"Smithfield, Rhode Island"
Bucknell Bison,bucknell,"Lewisburg, Pennsylvania"
Buffalo Bulls,buffalo,"Buffalo, New York"
Butler Bulldogs,butler,"Indianapolis, Indiana"
Cal Poly Mustangs,cal-poly,"San Luis Obispo, California"
Cal State Bakersfield Roadrunners,cal-state-bakersfield,"Bakersfield, California"
Cal State Fullerton Titans,cal-state-fullerton,"Fullerton, California"
Cal State Long Beach 49ers,long-beach-state,"Long Beach, California"
Cal State Los Angeles Golden Eagles,cal-state-los-angeles,"Los Angeles, California"
Cal State Northridge Matadors,cal-state-northridge,"Northridge, California"
California Baptist Lancers,california-baptist,"Riverside, California"
Campbell Fighting Camels,campbell,"Buies Creek, North Carolina"
Canisius Golden Griffins,canisius,"Buffalo, New York"
Carleton College Knights,carleton-college,"Northfield, Minnesota"
Carnegie Mellon Tartans,carnegie-mellon,"Pittsburgh, Pennsylvania"
Case Western Reserve Spartans,case-western-reserve,"Cleveland, Ohio"
Catholic Cardinals,catholic,"Washington, D.C."
Centenary (LA) Gents,centenary-la,"Shreveport, Louisiana"
Central Arkansas Bears,central-arkansas,"Conway, Arkansas"
Central Connecticut State Blue Devils,central-connecticut-state,"New Britain, Connecticut"
Central Florida Knights,central-florida,"Orlando, Florida"
Central Michigan Chippewas,central-michigan,"Mount Pleasant, Michigan"
Central Missouri Mules,central-missouri,"Warrensburg, Missouri"
Central Normal College ,central-normal-college,"Danville, Indiana"
Central Pennsylvania College Knights,central-pennsylvania-college,"Summerdale, Pennsylvania"
Centre (KY) Colonels,centre-ky,"Danville, Kentucky"
Charleston Southern Buccaneers,charleston-southern,"Charleston, South Carolina"
Charlotte 49ers,charlotte,"Charlotte, North Carolina"
