mp,season,url_school,school,player,player_id,pts,g
939,2017,abilene-christian,Abilene Christian,Jaren Lewis,jaren-lewis-1,397,29
563,2017,abilene-christian,Abilene Christian,Jalone Friday,jalone-friday-1,357,26
896,2017,abilene-christian,Abilene Christian,Jaylen Franklin,jaylen-franklin-1,282,26
413,2017,abilene-christian,Abilene Christian,Hayden Farquhar,hayden-farquhar-1,191,29
662,2017,abilene-christian,Abilene Christian,Isaiah Tripp,isaiah-tripp-1,175,29
648,2017,abilene-christian,Abilene Christian,Drake Green,drake-green-1,153,27
451,2017,abilene-christian,Abilene Christian,Hayden Howell,hayden-howell-1,149,29
367,2017,abilene-christian,Abilene Christian,Jovan Crnic,jovan-crnic-1,104,13
374,2017,abilene-christian,Abilene Christian,Payten Ricks,payten-ricks-1,97,28
179,2017,abilene-christian,Abilene Christian,B.J. Maxwell,bj-maxwell-1,58,17
199,2017,abilene-christian,Abilene Christian,Diamante Langston,diamante-langston-1,24,25
201,2017,abilene-christian,Abilene Christian,Trey Lenox,trey-lenox-1,22,26
8,2017,abilene-christian,Abilene Christian,Jadon Reynolds,jadon-reynolds-1,0,5
940,2017,air-force,Air Force,Hayden Graham,hayden-graham-1,402,32
819,2017,air-force,Air Force,Frank Toohey,frank-toohey-1,353,33
944,2017,air-force,Air Force,Jacob Van,jacob-van-1,351,33
837,2017,air-force,Air Force,Zach Kocur,zach-kocur-1,320,33
849,2017,air-force,Air Force,Trevor Lyons,trevor-lyons-1,243,33
434,2017,air-force,Air Force,Ryan Manning,ryan-manning-1,195,31
473,2017,air-force,Air Force,Lavelle Scottie,lavelle-scottie-1,177,33
442,2017,air-force,Air Force,C.J. Siples,cj-siples-1,91,30
223,2017,air-force,Air Force,Dane Norman,dane-norman-1,75,21
202,2017,air-force,Air Force,Pervis Louder,pervis-louder-1,69,24
181,2017,air-force,Air Force,Sid Tomes,sid-tomes-1,49,17
97,2017,air-force,Air Force,Caleb Morris,caleb-morris-1,31,13
50,2017,air-force,Air Force,Ryan Swan-Ford,ryan-swan-ford-1,17,9
51,2017,air-force,Air Force,LeSean Brown,lesean-brown-1,11,13
24,2017,air-force,Air Force,Jonathan DeWane,jonathan-dewane-1,11,10
91,2017,air-force,Air Force,Kyle Broekhuis,kyle-broekhuis-1,8,13
10,2017,air-force,Air Force,Brendan Leonard,brendan-leonard-1,8,2
7,2017,air-force,Air Force,Keegan Culp,keegan-culp-1,0,4
2,2017,air-force,Air Force,Daniel Hummer,daniel-hummer-1,0,1
1076,2017,akron,Akron,Isaiah Johnson,isaiah-johnson-1,598,36
1028,2017,akron,Akron,Kwan Cheatham,kwan-cheatham-1,397,36
1051,2017,akron,Akron,Jimond Ivey,jimond-ivey-1,367,36
820,2017,akron,Akron,Antino Jackson,antino-jackson-1,309,35
981,2017,akron,Akron,Noah Robotham,noah-robotham-1,291,33
765,2017,akron,Akron,Josh Williams,josh-williams-5,263,35
384,2017,akron,Akron,Tavian Dunn-Martin,tavian-dunn-martin-1,145,36
289,2017,akron,Akron,Daniel Utomi,daniel-utomi-1,143,30
423,2017,akron,Akron,Aaron Jackson,aaron-jackson-2,134,32
195,2017,akron,Akron,Emmanuel Olojakpoke,emmanuel-olojakpoke-1,79,33
146,2017,akron,Akron,Michael Hughes,michael-hughes-2,35,20
26,2017,akron,Akron,Craig Eubanks,craig-eubanks-1,8,4
6,2017,akron,Akron,Mark Noble,mark-noble-1,2,4
5,2017,akron,Akron,Marquelle McIntyre,marquelle-mcintyre-1,1,4
6,2017,akron,Akron,Carlitos Anderson,carlitos-anderson-1,0,2
853,2017,alabama-am,Alabama A&M,Quinterian McConico,quinterian-mcconico-1,391,28
854,2017,alabama-am,Alabama A&M,De'Edrick Petty,deedrick-petty-1,387,29
910,2017,alabama-am,Alabama A&M,Rakiya Battle,rakiya-battle-1,181,29
449,2017,alabama-am,Alabama A&M,Marcus Merriweather,marcus-merriweather-1,144,26
564,2017,alabama-am,Alabama A&M,Matthew Cotton,matthew-cotton-1,125,29
378,2017,alabama-am,Alabama A&M,Adrian Edwards,adrian-edwards-1,122,17
311,2017,alabama-am,Alabama A&M,Mohamed Sherif,mohamed-sherif-1,102,20
354,2017,alabama-am,Alabama A&M,Evan Wiley,evan-wiley-2,90,27
440,2017,alabama-am,Alabama A&M,Ariston Johnson,ariston-johnson-1,76,29
313,2017,alabama-am,Alabama A&M,Eugene Jones Jr.,eugene-jonesjr-1,68,24
234,2017,alabama-am,Alabama A&M,Tracy Burnett,tracy-burnett-1,60,10
167,2017,alabama-am,Alabama A&M,Christopher Thomas,christopher-thomas-2,34,9
48,2017,alabama-am,Alabama A&M,LaQuan Wiltshire,laquan-wiltshire-1,6,7
0,2017,alabama-am,Alabama A&M,Kimium Woods,kimium-woods-1,0,1
932,2017,alabama-birmingham,Alabama-Birmingham,William Lee,william-lee-1,435,33
716,2017,alabama-birmingham,Alabama-Birmingham,Chris Cokley,chris-cokley-1,400,33
948,2017,alabama-birmingham,Alabama-Birmingham,Dirk Williams,dirk-williams-2,345,33
800,2017,alabama-birmingham,Alabama-Birmingham,Hakeem Baxter,hakeem-baxter-1,239,32
655,2017,alabama-birmingham,Alabama-Birmingham,Denzell Watts,denzell-watts-1,207,31
773,2017,alabama-birmingham,Alabama-Birmingham,Deion Lavender,deion-lavender-1,203,33
618,2017,alabama-birmingham,Alabama-Birmingham,Tosin Mehinti,tosin-mehinti-1,185,33
505,2017,alabama-birmingham,Alabama-Birmingham,Javien Williams,javien-williams-1,133,33
332,2017,alabama-birmingham,Alabama-Birmingham,Tyler Madison,tyler-madison-1,125,30
281,2017,alabama-birmingham,Alabama-Birmingham,Nate Darling,nate-darling-1,76,30
79,2017,alabama-birmingham,Alabama-Birmingham,Thomas Smallwood,thomas-smallwood-1,21,15
