year_id,pts,mp,player,player_id,school_name,url_school
2019,86,241,Kyle Guy,kyle-guy-1,Virginia,virginia
2019,99,237,Ty Jerome,ty-jerome-1,Virginia,virginia
2011,141,231,Kemba Walker,kemba-walker-1,Connecticut,connecticut
2010,106,227,Nolan Smith,nolan-smith-1,Duke,duke
2015,132,226,Frank Kaminsky,frank-kaminsky-1,Wisconsin,wisconsin
2010,96,225,Jon Scheyer,jon-scheyer-1,Duke,duke
2011,94,223,Bradford Burgess,bradford-burgess-1,Virginia Commonwealth,virginia-commonwealth
2013,79,223,Tim Hardaway,tim-hardaway-jr-1,Michigan,michigan
2019,95,223,De'Andre Hunter,deandre-hunter-1,Virginia,virginia
2017,100,223,Nigel Williams-Goss,nigel-williams-goss-1,Gonzaga,gonzaga
2014,82,222,Ryan Boatright,ryan-boatright-1,Connecticut,connecticut
2008,61,221,Antonio Anderson,antonio-anderson-1,Memphis,memphis
2015,78,220,Tyus Jones,tyus-jones-1,Duke,duke
2010,108,219,Kyle Singler,kyle-singler-1,Duke,duke
2014,79,219,Aaron Harrison,aaron-harrison-1,Kentucky,kentucky
2013,76,219,Glenn Robinson,glenn-robinson-2,Michigan,michigan
2014,127,218,Shabazz Napier,shabazz-napier-1,Connecticut,connecticut
2015,81,218,Quinn Cook,quinn-cook-1,Duke,duke
2011,89,216,Matt Howard,matt-howard-1,Butler,butler
2010,95,216,Gordon Hayward,gordon-hayward-1,Butler,butler
2013,93,215,Trey Burke,trey-burke-1,Michigan,michigan
2018,86,214,Muhammad-Ali Abdur-Rahkman,muhammad-ali-abdur-rahkman-1,Michigan,michigan
2019,68,214,Davide Moretti,davide-moretti-1,Texas Tech,texas-tech
2008,125,213,Derrick Rose,derrick-rose-1,Memphis,memphis
2010,42,213,Willie Veasley,willie-veasley-1,Butler,butler
2015,32,213,Josh Gasser,josh-gasser-1,Wisconsin,wisconsin
2010,41,210,Ronald Nored,ronald-nored-1,Butler,butler
2014,66,210,Andrew Harrison,andrew-harrison-1,Kentucky,kentucky
2011,54,209,Joey Rodriguez,joey-rodriguez-1,Virginia Commonwealth,virginia-commonwealth
2011,97,209,Jeremy Lamb,jeremy-lamb-1,Connecticut,connecticut
2019,79,208,Matt Mooney,matt-mooney-1,Texas Tech,texas-tech
2012,82,208,Anthony Davis,anthony-davis-5,Kentucky,kentucky
2017,117,207,Justin Jackson,justin-jackson-4,North Carolina,north-carolina
2019,111,207,Jarrett Culver,jarrett-culver-1,Texas Tech,texas-tech
2011,122,206,Shelvin Mack,shelvin-mack-1,Butler,butler
2008,140,205,Chris Douglas-Roberts,chris-douglas-roberts-1,Memphis,memphis
2011,105,205,Jamie Skeen,jamie-skeen-1,Virginia Commonwealth,virginia-commonwealth
2015,115,205,Sam Dekker,sam-dekker-1,Wisconsin,wisconsin
2011,48,204,Shawn Vanzant,shawn-vanzant-1,Butler,butler
2008,95,204,Brandon Rush,brandon-rush-1,Kansas,kansas
2012,77,204,Tyshawn Taylor,tyshawn-taylor-1,Kansas,kansas
2014,96,203,DeAndre Daniels,deandre-daniels-1,Connecticut,connecticut
2015,74,201,Nigel Hayes,nigel-hayes-1,Wisconsin,wisconsin
2009,115,201,Wayne Ellington,wayne-ellington-1,North Carolina,north-carolina
2012,80,201,Marquis Teague,marquis-teague-1,Kentucky,kentucky
2014,79,200,James Young,james-young-1,Kentucky,kentucky
