season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2020,Maryland Eastern Shore,0,"72.9
353","109.1
304",".0096
353","34.6
353","49.3
154","21.8
267","17.5
265","20.7
330","35
328","19.6
337","34.8
235","35
353","47.1
118","22.7
350","35.3
238","71.6
96","-3.7
335"
2019,Alcorn St.,0,"80.5
352","116.1
338",".0146
353","36.7
353","58.5
330","26.3
348","19.4
153","25.3
252","46
353","35.7
126","28.2
79","39.3
344","61.3
344","21.6
351","35.7
206","66.2
312","-1.2
162"
2020,SIU Edwardsville,0,"91.1
309","125.7
352",".0242
352","49.6
176","56.3
322","18.5
127","17.1
280","24.8
256","35.2
330","30.1
214","40.9
303","46.7
257","51.1
218","36.8
71","42.9
343","67.9
247","-3.2
305"
2019,Savannah St.,0,"91.7
321","131.0
353",".0164
352","45.4
300","64
351","20
223","10.3
353","22.7
303","36
334","12.1
353","29.1
94","50.7
169","58
324","27.6
327","47.8
351","77.7
10","-2.8
282"
2020,Maine,1,"86.9
338","117.1
345",".0313
351","45.9
284","55.5
316","26.1
348","14.4
344","24.4
266","28.2
166","24.9
297","33.6
215","47.4
244","54
276","29.1
293","38.4
301","65.6
322","-4.4
347"
2019,Maryland Eastern Shore,0,"83.0
351","114.3
327",".0244
351","40.6
347","57.3
314","19.6
205","18.1
208","19.3
342","36.7
339","26.6
292","41.1
295","41.8
327","59
330","25.5
342","37.1
251","66.2
312","-3.8
335"
2018,Longwood,0,"83.3
349","117.6
341",".0186
351","43.7
330","53.2
249","27.5
350","12.7
349","24.1
285","35.9
330","30
228","34.5
218","41.5
334","56.9
315","31.6
264","32.8
104","69.9
167","-4.3
332"
2017,Grambling St.,0,"79.7
350","119.7
345",".0092
351","37.3
350","65.7
351","18.3
152","23.5
18","26
264","41.3
345","24.3
323","25
31","37.8
344","61.9
347","24.1
345","47.8
348","70.2
152","-2.3
230"
2016,Grambling St.,0,"74.5
351","100.2
131",".0320
351","36.3
349","55.8
317","24.3
340","22.9
26","23
315","33.3
260","25.2
326","29
78","39.9
333","49.7
205","20.2
350","44.2
343","70.1
138","-2.6
246"
2015,Grambling St.,0,"66.5
351","109.1
303",".0033
351","28.7
351","52.7
273","29.7
350","18.8
215","25.7
307","44.9
350","41.4
86","48.6
318","25.5
351","54.8
321","27.8
311","32.9
145","65.6
166","-2.3
238"
2020,Mississippi Valley St.,0,"84.4
348","113.1
333",".0334
350","41.2
348","58.1
338","17.6
96","19.9
150","24.6
261","35
328","15.1
350","30.4
158","39.9
340","59.6
345","28.9
299","37.5
280","77.1
4","-3.4
319"
2019,Northwestern St.,1,"79.5
353","107.7
261",".0297
350","37.9
352","54.8
281","25.1
342","22.4
55","23.9
283","29.8
216","44.1
30","43.8
316","40.9
333","51.4
195","21.6
351","40.5
326","73.6
50","-1.5
181"
2018,Alabama A&M,0,"82.1
350","114.4
328",".0216
350","41.3
343","60.6
345","27.1
349","16
305","27.1
220","32.6
282","27.6
272","25.5
53","41.3
337","59.3
340","27.6
337","41.9
327","68.1
248","-3.4
296"
2017,Coppin St.,0,"81.8
349","119.6
343",".0125
350","37.4
349","63.5
348","22.4
313","20.6
88","32.4
103","35.4
311","22.4
338","37.4
222","34.5
350","61
344","28.9
312","44.4
338","67.9
264","-3.4
299"
2016,UTSA,0,"90.0
330","119.7
350",".0361
350","42.7
327","58
341","20.6
269","12.8
348","26.3
269","30.1
163","40.3
91","36.7
196","46.4
239","57
332","23.8
347","40
301","75.5
14","-4
324"
2015,Florida A&M,0,"84.5
340","115.7
342",".0260
350","47
231","56.1
330","25.1
332","17.8
257","26.1
297","29.6
121","40.4
108","31.2
86","46.2
204","58.3
344","32.8
195","35.4
221","68.8
50","-3.6
314"
2020,Chicago St.,1,"90.9
313","119.4
349",".0418
349","46.5
269","56.7
328","25.4
344","15.9
317","25
249","31.3
266","32.8
154","46.7
334","43.9
313","53.8
273","33.9
146","40.9
328","72.2
76","-3.7
332"
2019,Chicago St.,1,"84.5
349","114.3
326",".0301
349","45.6
297","59.5
336","26.4
349","18.1
208","24.4
273","30.5
237","33
174","33
165","44.8
292","59.9
337","31.6
252","39.5
313","74.9
24","-2.6
276"
2018,Chicago St.,0,"86.8
343","120.0
347",".0234
349","43.5
332","59.4
338","22
310","15.9
308","21.6
322","28
144","30.5
218","49.7
341","41.5
334","58.4
332","32.4
249","40.6
312","74.1
38","-5.2
346"
2017,Presbyterian,0,"88.1
340","119.8
346",".0286
349","43.7
315","56.9
317","24.8
344","14.9
326","27.8
224","27
87","23.5
330","33.2
154","42.7
307","51.3
237","30.2
299","42.6
330","66.1
312","-3.8
317"
2016,Delaware St.,0,"89.0
335","116.3
344",".0440
349","37.8
348","56.4
322","21.9
308","14.9
318","25.1
293","44.7
350","26.3
317","39.3
248","33.2
350","58.1
345","30.8
284","35.9
219","68.4
228","-3
279"
2015,Mississippi Valley St.,0,"88.0
327","118.0
346",".0331
349","36.1
349","57.2
340","20.9
231","20.4
141","25.1
321","46.6
351","25.4
334","44
282","37.2
347","59.3
346","22.5
346","36
229","70.8
20","-3.8
318"
