season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2019,Chicago St.,0,"88.2
346","121.3
351",".0249
353","44.3
339","59.7
351","21.1
319","15.9
276","19
346","36.7
347","29.3
240","32.1
181","39.3
351","58.4
346","38.4
52","40.9
339","69.9
86","-7.4
341"
2019,Delaware St.,3,"83.3
353","111.9
300",".0323
352","40.4
353","47.8
65","19.3
253","19.9
65","31.3
81","34.1
328","27.5
280","39.8
307","41.1
341","50.4
195","26.2
352","29.4
19","70.4
67","-7.6
345"
2019,Idaho,1,"93.3
330","121.2
350",".0473
351","51
159","55.7
325","21.3
321","12.9
350","21.7
324","31.3
283","25.8
309","34.6
233","45.9
308","58.4
346","39.5
27","35
193","67.1
202","-10.6
353"
2018,Maryland Eastern Shore,2,"83.5
351","114.6
318",".0256
351","41.2
348","51.6
194","17.9
203","18.1
138","27.8
184","29.1
218","30.8
223","31.5
137","43.1
340","50.8
185","25
349","35.5
195","68.6
152","-5.7
314"
2017,St. Francis NY,0,"81.8
351","115.1
323",".0193
351","39.1
350","54.3
291","19.6
261","19.6
80","25.4
269","31.2
263","38.6
101","46.7
327","41.9
342","51.8
248","23.4
351","40
313","70.2
94","-7.4
344"
2016,Grambling St.,1,"86.1
349","111.7
284",".0476
351","45.4
310","50.3
180","20.7
320","20.9
30","24.8
299","31.3
244","43.1
49","47
323","48.8
187","51.4
246","26.4
346","32.1
79","66.5
259","-9.4
351"
2015,Grambling St.,0,"76.1
351","118.6
348",".0060
351","40.8
350","51.3
237","24.7
348","17.6
208","31.4
157","37.2
332","37
156","35.5
157","39.6
349","52.7
309","29.3
317","32.2
78","66.2
83","-10.6
351"
2014,South Carolina St.,2,"87.7
349","115.0
324",".0426
351","40.8
351","51.3
229","22.4
337","17.8
187","33.8
93","32.3
231","34.2
283","47
287","43.3
326","50.1
227","23.6
349","36.1
227","65.1
183","-6.9
331"
2019,Maryland Eastern Shore,4,"87.6
347","112.4
302",".0543
350","48.6
251","48.5
85","21.8
333","20.2
55","26.4
222","29.9
243","33.5
137","38.4
296","49.2
194","46.5
65","31.7
289","34.4
167","63.9
331","-4.7
257"
2018,Alabama A&M,1,"89.1
346","121.6
345",".0270
350","45.1
336","53
243","22
342","16.2
245","33.6
37","35.6
342","26.3
312","29.2
89","48.7
228","50.8
185","25.6
348","38.7
287","65.8
281","-7.6
349"
2017,Presbyterian,0,"84.6
348","118.3
339",".0207
350","45
333","56.3
331","22.8
342","16.9
229","26.7
236","28.8
186","24.9
336","44.7
312","40.8
348","52.6
277","36
138","40.5
322","66
278","-7.1
340"
2016,Florida A&M,2,"83.8
351","107.7
229",".0527
350","49
220","47.5
71","22.4
342","21.3
25","22.1
331","30.7
225","46.4
13","47
323","48.8
187","47
96","32.8
232","32.4
91","70.2
80","-6.7
329"
2015,Florida A&M,2,"87.7
345","117.3
341",".0341
350","42.7
339","50.4
204","19
209","18.2
178","26.2
293","38.2
340","38.8
117","32.6
107","39.7
348","48.5
189","33.3
219","36.2
228","65.7
99","-5.3
303"
2014,North Carolina A&T,2,"89.8
344","115.1
325",".0543
350","41
350","48.5
116","21.3
313","19.8
69","31.8
154","32.2
221","66.9
1","62.6
350","42.7
336","46
81","25.4
344","35.4
191","66.6
110","-8.3
347"
2019,Coppin St.,4,"85.5
351","109.1
269",".0570
349","49.3
226","45.6
31","24.6
350","17.5
183","26.7
209","29.1
220","45.3
6","30
134","49.8
173","39.4
2","32.6
249","37.1
263","70.7
60","-5.6
299"
2018,Delaware St.,2,"89.9
342","115.4
323",".0535
349","50.5
191","50.3
130","21.4
337","18.5
108","25.2
256","32.4
307","26.6
310","35.1
217","48.5
234","50
160","36
132","33.8
121","65.6
294","-6.7
341"
2017,Arkansas Pine Bluff,2,"84.3
350","114.3
315",".0291
349","48.1
262","50.3
153","26.8
351","21.1
39","32.5
67","34.9
333","33.1
216","57.8
351","43.4
335","52.5
275","37.1
103","30.7
41","66.7
248","-6.6
335"
2016,Delaware St.,3,"92.1
328","117.7
341",".0561
349","51.4
130","54.6
311","20.5
311","22.7
12","26.7
247","34.7
323","29.8
310","47.5
326","46.7
254","57.5
346","39.7
32","33.8
133","67.8
189","-6.5
325"
2015,Mississippi Valley St.,3,"87.0
347","116.0
337",".0351
349","46.8
258","51.3
237","22.5
336","20.7
65","31.8
140","36.2
322","35.6
191","28.1
35","46.7
219","49.6
223","31.4
273","36.6
242","71.5
4","-7.5
343"
2014,Stetson,1,"91.1
339","116.6
333",".0555
349","45.3
312","55.4
332","17.9
166","18.6
142","25.3
317","35.3
310","36.1
252","47.4
292","50
117","55.7
337","23.5
350","36.6
241","63.7
250","-6.8
330"
2019,Incarnate Word,0,"96.7
288","122.3
353",".0632
348","54.3
51","59
349","25.8
352","17.3
189","21.3
325","30.4
262","38.2
54","43.6
333","53.3
56","58.7
349","37.4
79","39.8
326","66.5
237","-8.9
351"
2018,Howard,4,"100.8
253","127.4
351",".0634
348","49.2
247","53.2
248","16.8
130","16.8
200","35.5
14","33.9
338","39.3
53","36.9
251","49.7
189","52.2
237","32.2
271","36.9
237","70.1
92","-5.7
316"
2017,Alabama A&M,1,"93.2
329","126.1
350",".0300
348","46.6
311","49.3
120","19.5
259","13.3
342","34.7
28","36
341","45.5
20","33
135","47.9
233","47.8
113","28.6
332","34.8
154","63.8
329","-7.7
346"
2016,Chicago St.,0,"88.8
345","112.9
303",".0594
348","41.4
348","53.1
271","21.8
331","17.6
174","30.7
127","29.6
180","30.3
300","42.9
282","42
340","51.7
263","26.9
343","36.4
236","67.9
187","-6.5
321"
2015,UMBC,1,"85.8
349","113.2
320",".0396
348","45.6
296","53.7
310","22
327","18.8
141","18.7
348","31.1
185","39.5
106","30.7
67","42.5
325","52.2
300","35.2
156","37.8
278","64.5
152","-6.7
336"
2014,UMBC,2,"90.3
342","115.3
327",".0567
348","46.1
297","53.6
304","22.6
338","22.9
11","28.8
238","33.3
262","44.1
97","54.3
341","47.1
226","49.8
216","29.7
315","40.8
334","69.2
31","-5.8
291"
2019,USC Upstate,0,"95.1
310","120.2
349",".0633
347","47.7
285","59.8
352","18.4
207","15.4
292","22.3
311","27.4
161","28.5
258","32.9
200","47.4
264","61.1
351","32
271","38.7
307","67.3
195","-6.9
331"
2018,Coppin St.,1,"88.5
348","111.4
281",".0663
347","46.2
323","50.4
132","19.1
280","18.9
93","26.2
224","30
244","26.7
308","35.7
229","44.9
323","49.8
154","31.7
288","34.2
135","67.9
192","-6.7
342"
2017,North Carolina A&T,1,"98.6
271","132.0
351",".0337
347","50.2
184","54.4
294","19.2
247","11.7
350","33.1
56","30.1
231","35.6
151","41.2
282","50.1
141","51.8
248","33.5
230","38.5
283","64.2
325","-8.6
351"
2016,Bryant,1,"91.9
330","115.8
326",".0653
347","47.4
265","48.7
117","19.3
264","14.4
317","21.1
339","34.3
321","29.8
310","36.6
167","48.1
213","53.4
302","30.6
295","27
7","70.8
59","-6.5
324"
2015,Abilene Christian,1,"84.2
350","110.7
291",".0412
347","44.4
326","55
326","21.7
319","20.9
55","23.4
327","32.5
243","22.4
351","44
292","41
339","56.1
341","34.1
200","35.1
178","61.1
301","-7.9
346"
2014,Southern Utah,1,"89.2
345","113.7
316",".0575
347","48.4
216","52.2
271","21.2
311","16.6
260","24.3
329","29.6
96","47.3
53","54.1
339","48.5
174","50
221","32.2
260","38.1
294","66.5
114","-9.1
351"
2013,Grambling St.,0,"76.4
347","122.4
347",".0044
347","38
347","51.8
256","20.4
239","15.7
313","32.5
138","38.1
337","27.3
326","29.5
47","37.6
346","49.6
232","25.9
342","37.3
264","62.6
267","-9.4
344"
2010,Bryant,1,"74.1
347","105.9
229",".0161
347","38.6
347","48.9
168","25.1
339","19.9
145","22.6
334","32.2
181","26.5
329","42.9
252","44.1
286","47.9
180","19.9
347","33.8
146","62.1
310","-6.6
330"
2019,McNeese St.,2,"90.7
341","114.6
326",".0638
346","45.9
322","54.3
297","18.8
231","18.4
138","24.3
276","30.6
267","39.9
36","25.1
41","46.9
283","52.9
282","29.5
330","37.8
287","67.1
202","-7.9
348"
2018,South Carolina St.,2,"100.7
258","126.5
350",".0673
346","52.4
130","55.4
304","18.3
225","16.9
193","29.4
121","32.9
321","41.8
28","38.5
272","54.5
45","58.4
345","32.2
271","33.8
121","70.4
83","-6.6
338"
2017,Alabama St.,3,"93.0
331","121.3
348",".0448
346","47
305","49.8
135","22.3
337","14.7
314","36.6
13","30.8
256","44.8
25","43.8
305","46.2
282","48.8
144","32.4
260","34.7
146","68.8
160","-6.6
334"
2016,Maine,0,"91.9
329","114.9
320",".0713
346","46.2
298","59.8
351","20.2
299","21.6
20","25.9
269","31.7
260","31.7
282","33.9
115","44.6
304","59.1
351","33
226","40.9
332","77.4
4","-7.6
346"
2015,Kennesaw St.,2,"89.3
338","117.0
340",".0431
346","42.6
340","49.6
169","17.5
129","14.5
332","30.2
190","36.9
329","27.4
331","31.3
81","41.9
332","47.5
162","29.3
317","34.8
165","62.6
242","-5.2
299"
2014,NJIT,1,"88.0
348","112.2
298",".0577
346","48.1
222","50.6
202","21.3
313","23.1
9","23.1
340","37
340","46.5
67","49.7
313","52.7
49","47.2
122","27.9
332","37.7
283","73.5
4","-1.7
118"
2013,Maryland Eastern Shore,1,"84.8
340","114.6
332",".0302
346","39.5
345","52.7
285","24.5
339","22.7
28","37.6
27","34
264","29.9
291","35.7
155","38.5
345","51
276","28
327","37.6
271","62.3
278","-10.1
347"
2010,Alcorn St.,2,"81.7
345","115.3
338",".0187
346","43.8
315","48.7
157","25.6
344","21.1
94","28.5
265","37.1
307","48
31","50.2
322","43.7
297","46.4
114","29.5
305","36.6
242","69.6
42","-6.7
333"
2019,Mississippi Valley St.,3,"90.6
342","113.9
318",".0676
345","43
349","51
185","18.3
197","17.2
193","29.7
123","28.7
204","35.8
87","30.6
146","39.6
350","48.8
131","34
189","37
257","70.3
74","-7.3
339"
2018,Florida A&M,5,"93.8
328","116.5
330",".0761
345","49.3
241","48.8
89","15.6
58","17.7
161","24.1
278","36.3
346","34.1
153","32.5
164","45.8
309","51.6
215","38.5
68","27.9
6","67
240","-4.7
274"
2017,Chicago St.,0,"89.9
346","116.3
329",".0492
345","38.9
351","59.4
349","20.5
297","18.4
140","28.3
181","31
259","31.6
249","32.4
124","38.5
351","58.4
348","26.4
345","40.4
321","69
151","-6.1
321"
2016,Arkansas Pine Bluff,3,"89.9
340","112.2
296",".0727
345","48.7
228","47.1
61","22.6
344","21.3
25","30.4
134","37.5
348","34.7
216","50.5
341","50.7
117","48.6
159","30.3
306","29.4
26","63.1
340","-7.4
342"
2015,Central Arkansas,2,"90.4
336","114.6
329",".0612
345","49.5
170","53.3
300","23.5
341","17
237","28.5
238","33.6
276","35.9
188","35.1
149","45
276","53.5
323","38.6
66","35.1
178","67.6
38","-7.8
345"
2014,Grambling St.,4,"95.6
306","120.9
349",".0632
345","49.3
182","55.5
333","22.6
338","18
169","32.3
137","33.6
269","47.9
42","37.7
128","49.4
139","58.1
346","32.7
245","33.7
137","67.5
78","-8.3
346"
2013,Lamar,1,"83.2
345","112.2
320",".0310
345","41.5
336","51.8
256","22.3
308","14.9
332","29.8
216","28.3
75","38.9
121","31.3
73","41.2
327","49.4
223","29.8
300","38.3
290","69.4
22","-8.2
342"
2012,Grambling St.,1,"86.2
333","118.1
341",".0261
345","45
300","49.3
172","20.6
242","19.2
172","23
324","36.2
301","34.5
200","36.1
175","44.1
298","48.4
177","31.2
268","34.2
161","63.1
256","-7.7
342"
2011,Southern,0,"77.8
345","113.6
321",".0128
345","41
342","47.2
100","24.5
337","20
132","27.4
285","36.7
312","38
159","33.6
103","39.3
342","50.6
263","29.9
304","27.1
9","64.7
211","-8.8
344"
2010,Howard,1,"82.2
343","110.0
299",".0336
345","41.4
339","45.9
61","23.2
318","15.6
325","33.2
142","34.2
245","35.8
211","32.5
80","40.8
335","48.8
210","28.3
321","25.6
5","62.9
297","-8.5
346"
2019,Alabama A&M,1,"90.4
343","113.4
314",".0680
344","48.3
261","51.2
194","21.3
321","20.1
59","27.4
182","34.2
330","22.4
341","43.4
332","47.2
272","48.9
135","33.9
194","37.6
281","64
330","-9.2
352"
2018,Bryant,1,"98.0
297","121.6
344",".0770
344","48.8
256","57.8
334","18.3
225","18
145","25.4
252","33.8
337","29.2
264","31.8
148","48.4
238","54.5
297","32.8
252","41.4
332","71.8
41","-6.3
330"
2017,Longwood,0,"93.2
330","120.0
345",".0515
344","47.8
278","58
344","18.6
210","17.5
195","22.7
314","31.5
272","32.9
221","33.1
137","50.3
135","54.9
321","28.2
341","42.5
342","71.4
52","-8
349"
2016,Howard,2,"89.7
342","111.7
285",".0745
344","43.1
341","48.7
117","22.4
342","16.8
208","33.3
64","33.4
309","50.9
4","35.5
144","43.5
323","47.7
121","27.9
338","33.6
125","70.1
82","-8.5
350"
2015,Alcorn St.,2,"97.3
271","123.3
351",".0617
344","48.5
205","55.4
332","15.8
45","19.5
109","32.3
130","34.7
299","36.4
172","41.5
260","46.7
219","51.5
281","34.7
176","43.8
348","67.3
47","-8.5
350"
2014,Furman,2,"88.2
347","110.9
277",".0666
344","47.2
259","51.4
237","21.8
326","16.9
248","21.8
345","31
156","46.4
69","29.9
25","50.3
112","49.5
203","27.3
336","36.8
249","66.2
136","-6.9
332"
2013,New Orleans,1,"83.7
342","111.2
311",".0371
344","42.8
327","48.9
160","25.8
346","17.7
241","26.2
300","30.9
156","37.3
156","47.9
319","42.6
314","46.3
116","29
318","37
256","71.1
6","-4.6
246"
2012,Longwood,0,"88.7
327","120.8
344",".0278
344","45.9
275","56.9
340","20.3
224","13.6
340","20.5
336","31.4
173","21.2
342","23.2
6","43.7
305","56.2
339","32.6
225","38.5
282","68.1
47","-5.5
303"
2011,SIU Edwardsville,0,"88.4
327","127.7
345",".0144
344","50.3
117","64
345","21.4
272","17.2
270","16.2
345","32.5
193","37.6
169","47
310","50
89","66.7
345","33.8
191","36.1
226","67.9
72","-2.9
176"
2010,SIU Edwardsville,1,"85.7
335","113.7
331",".0370
344","40.1
345","56.1
335","17.7
70","19.6
166","25.2
321","28.4
56","34.9
229","41
224","37.3
346","56.1
339","29.6
298","37.3
264","67.7
97","-4.6
259"
2019,Morgan St.,1,"94.0
323","117.6
340",".0703
343","44.4
337","56.7
336","16.7
108","25.3
3","33
52","33.9
325","36.3
74","45.5
343","40.3
346","54
304","36
120","40.9
339","71.9
26","-7.8
347"
2018,Mississippi Valley St.,3,"91.1
340","112.6
298",".0804
343","45.9
327","48.4
75","20.3
317","17.1
183","35
21","26.5
118","30.9
220","34.6
203","46.6
293","48.3
98","29.6
319","32.4
75","71.9
35","-6.6
339"
2017,Coppin St.,3,"93.4
327","117.7
336",".0655
343","47.6
287","53.3
266","20.9
316","18.6
128","30.9
108","27.9
149","50.3
2","47.3
330","48.3
215","53.9
307","31.1
300","34.9
160","73.6
18","-5.6
302"
