season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2019,Maryland Eastern Shore,5,"84.9
351","114.3
344",".0316
353","43.5
350","54.4
324","20.7
303","19
140","22.8
326","31.7
300","28.3
293","36.6
267","44.5
341","53.2
288","27.9
352","37.3
313","64.5
343","-19.9
342"
2019,Delaware St.,4,"84.6
352","112.5
331",".0362
352","40
353","52.4
254","19
209","18.9
144","27.8
196","31.6
296","25.5
327","39.2
310","37.7
353","52.6
272","29
347","34.7
192","71.6
63","-21.7
351"
2019,Chicago St.,1,"88.7
346","116.9
349",".0403
351","44.2
346","57.8
352","22.5
333","16.7
282","22.1
334","33.9
339","33.1
184","33.9
207","43.5
347","57.9
352","30.7
330","38.5
337","71.9
51","-20.9
350"
2018,Delaware St.,2,"90.3
344","119.9
350",".0368
351","47.3
318","55.9
333","22.8
345","18.2
187","29.3
156","33.7
333","28.5
305","35.7
232","46.1
311","53.8
305","33.2
258","38.9
333","66.2
320","-24.1
351"
2017,Alabama A&M,2,"89.9
346","123.3
351",".0257
351","44.3
341","53.7
308","19.8
260","14
350","29.3
177","36.2
348","39.5
71","33.7
140","45.6
303","53.2
309","27.5
350","36.3
253","65.7
317","-24
350"
2016,Florida A&M,6,"82.9
351","107.0
242",".0503
351","44.8
332","50.3
192","22.5
346","20.3
52","25.4
299","31.2
242","42.5
40","38.5
212","44.4
325","50.4
242","30.4
321","33.3
101","70.4
97","-18.3
335"
2015,Grambling St.,0,"76.7
351","116.4
347",".0081
351","39.4
351","52.2
292","26.1
351","16.9
296","28.9
252","36.4
337","39.6
107","38.7
216","38.4
351","54.3
345","28.3
345","32.1
67","65.5
136","-22.3
349"
2014,Southern Utah,1,"87.5
351","114.2
330",".0444
351","44.7
338","53.1
309","21.4
323","16.6
277","23.8
343","34.2
292","39.3
202","57.7
348","43.1
340","51.4
277","32.6
246","38.3
326","65.4
235","-21.9
351"
2019,New Hampshire,3,"83.6
353","106.6
241",".0579
350","44
347","51.5
205","18.4
161","16.9
273","21.5
340","24.7
30","21.9
352","38
289","39.4
351","52.1
261","32.6
255","33.6
127","67.1
279","-20.2
345"
2018,Alabama A&M,3,"87.4
350","114.1
329",".0446
350","45
339","54
295","24.2
350","16.6
276","30
132","32.5
313","31.4
235","29.8
83","44.8
327","52.3
271","30.3
339","38.4
328","67.5
260","-23
349"
2017,Presbyterian,3,"87.8
349","118.2
346",".0320
350","45.5
332","56.1
341","23.3
347","16.9
273","29
188","31.9
286","27.7
334","36.7
203","43.2
341","53.3
313","33.6
233","39.6
338","65.3
327","-20.5
347"
2016,Grambling St.,4,"86.0
349","110.3
294",".0536
350","43.8
344","50.8
208","21.7
337","20
63","24.9
310","32.5
296","44.2
21","41.4
273","45.3
297","51.5
281","27.4
349","33.1
89","66.9
277","-19.7
345"
2015,Florida A&M,2,"82.8
350","115.6
345",".0211
350","41.3
347","53.5
328","21.8
320","18.5
208","26.8
303","35.5
331","37.8
148","34.9
135","40.9
344","54
342","28.3
345","35.1
214","66.3
98","-23.2
351"
2014,Grambling St.,4,"94.1
328","122.8
351",".0446
350","46.5
294","57.4
350","21.9
331","18.3
171","30.6
202","36.1
332","40.5
169","40.5
171","45.3
298","57.7
348","32.5
256","37.9
317","68.4
83","-19.3
342"
