season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2020,Chicago St.,0,"85.5
346","123.2
351",".0149
353","45
316","58
348","24
344","14.1
340","18.9
339","31.1
273","45.4
19","41.1
305","42.9
335","52.9
293","32.7
205","43.5
353","69.5
127","-5.9
336"
2019,Maryland Eastern Shore,1,"86.5
347","119.6
353",".0234
353","43.6
342","55.1
311","20.5
262","16.9
258","26.5
217","31.3
278","28.1
274","34.6
219","45.2
320","52.1
246","27.2
340","39.8
326","61.7
350","-6.5
350"
2020,Kennesaw St.,0,"80.2
352","112.3
326",".0204
352","38.8
353","55.7
334","19.8
248","20
101","24.8
261","36.1
346","32.7
174","30.7
143","38.7
353","58.1
348","26.2
339","34.3
205","70
102","-6.9
350"
2019,New Hampshire,1,"77.4
353","102.2
165",".0388
352","40.1
351","49.5
114","18.4
172","18.9
161","22
310","23.9
53","17
351","34.1
201","37.4
352","45.9
45","28.8
322","36.9
250","66.8
263","-5.2
325"
2020,Maryland Eastern Shore,1,"79.6
353","106.0
262",".0356
351","39
352","47.9
115","21.9
316","19.8
108","30.1
114","29.2
223","38.5
80","45.7
331","47.9
215","51.3
247","16.3
353","28.3
32","68
205","-4.7
310"
2019,Delaware St.,0,"87.6
343","114.4
337",".0443
351","41.2
350","54.7
301","16.5
71","19.6
123","30
126","27.8
168","22.4
333","36.4
252","39.9
350","52.9
263","28.6
326","38.9
311","68.8
175","-6.5
351"
2018,Mississippi Valley St.,1,"87.8
349","119.1
343",".0290
351","42
350","56.8
331","17.4
117","24.7
4","30.1
131","32.5
290","36.5
106","52.7
348","39.6
351","57.1
339","31.9
275","37.5
257","70.9
78","-7.6
349"
2017,Presbyterian,1,"86.2
348","119.9
345",".0219
351","43.8
339","56.5
328","24.1
345","17.6
213","32.6
81","31.9
266","29.6
299","32.9
120","42.5
336","55.8
329","31.2
283","38.4
274","64.6
326","-6.9
347"
2016,Central Connecticut,1,"87.8
343","117.2
341",".0348
351","45.5
314","51.2
215","21.2
315","15.9
278","31.2
117","30.4
212","31.3
291","28.1
33","42.5
330","51.5
265","35.8
142","33.5
125","67.3
237","-8.4
351"
2015,Florida A&M,0,"80.6
351","115.6
334",".0157
351","41.1
344","52.1
279","22
314","20
121","29.9
204","35.1
305","41.5
90","42.3
265","43
305","51.6
292","24.7
342","35.3
207","66.5
70","-8.7
351"
2014,Maryland Eastern Shore,0,"90.6
336","124.2
349",".0257
351","42.8
335","54.7
319","22.4
325","20.1
93","33.5
118","36.5
320","39.1
198","49.3
296","42.6
325","48.8
191","28.7
315","45.3
350","65.5
195","-5.5
335"
2020,Delaware St.,1,"82.7
350","110.2
307",".0356
350","40.5
351","50.5
218","24.4
348","21.9
35","31.2
85","33.5
323","37.6
93","46.2
334","45
310","53
296","22.9
349","30.5
84","77.1
3","-3.7
271"
2019,Alcorn St.,2,"84.4
350","108.5
263",".0527
350","43.1
346","50.2
146","22
311","20.9
71","28.7
167","32.5
306","29.4
247","35.8
246","42.3
343","49.8
158","29.7
303","33.9
152","67.7
226","-5.6
338"
2018,Delaware St.,0,"87.9
348","116.6
334",".0372
350","48.4
263","55.4
311","24.5
347","19.1
139","33.1
69","29.6
199","30.2
238","36.8
254","47.2
257","56.5
337","34
216","36.1
205","66.4
280","-7.7
350"
2017,Alabama A&M,1,"87.5
347","120.2
348",".0252
350","44.6
332","51
182","19.2
218","15.5
304","28.8
183","33.8
304","40
91","38.7
231","45.6
301","52
253","28.2
327","32.7
112","65.5
314","-7.7
351"
2016,Chicago St.,0,"89.3
340","117.5
342",".0411
350","41.4
345","55.5
328","17.1
125","20.3
64","30.6
133","36.1
332","28.9
314","48.3
325","40.5
344","52.4
292","28.6
329","40.5
324","69.9
124","-6.9
347"
2015,Central Arkansas,0,"84.5
347","120.6
350",".0165
350","49.1
177","58.3
350","29.8
351","20.1
114","27.6
267","33.3
259","51.5
16","50.6
332","52.4
51","57.6
350","28.3
318","40
316","72.7
4","-6.4
335"
2014,Grambling St.,0,"94.2
321","127.1
351",".0310
350","49.9
156","55.2
326","21.6
310","20.7
73","28.4
248","39.9
345","35.9
262","45
238","47.2
214","52
282","36.2
125","40.1
316","62.1
327","-6.5
344"
2020,Arkansas Pine Bluff,2,"81.6
351","107.6
285",".0399
349","46.4
283","47.8
110","24.1
345","22.6
25","27.2
200","34.2
331","47.2
8","41.2
306","49
169","48.6
153","26.9
328","31
91","67
253","-4.6
308"
2019,Alabama A&M,3,"82.3
352","104.0
195",".0633
349","44.4
332","46.5
41","22.2
313","20.5
84","30.2
120","30.6
259","29.2
253","37.2
266","45.8
311","49.6
154","27.3
339","27.9
20","66.3
291","-3.8
278"
2018,Alabama St.,3,"95.2
303","122.8
348",".0512
349","46.3
323","48.9
98","19.4
227","18
198","36.5
16","36.5
345","39.4
65","51.7
347","47.1
260","44.7
35","29.9
320","38.5
285","69.1
150","-5.7
329"
