season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2020,Ohio St.,7,"112.4
13","80.0
3",".9804
1","56.5
19","38.2
2","17.9
88","21.7
93","34.6
42","27.9
166","38.9
68","25.2
64","54.5
45","35.9
2","39.7
25","28.1
51","67.8
277","1.1
18"
2019,"Duke
1 seed, Elite Eight",6,"130.7
1","88.6
13",".9887
1","55.2
48","44.5
33","15
18","18.4
198","40
8","32
260","38.2
101","27.6
61","55.7
53","41.9
21","36.1
111","33.1
157","76.2
17","2.2
3"
2018,"Kansas
1 seed, Final Four",6,"122.5
6","80.7
3",".9918
1","62.8
3","42.3
18","14.8
15","21.7
72","31.5
121","24.5
48","21.1
345","23.6
22","59.7
14","39.9
9","45.2
8","30.3
59","73.5
78","1.2
13"
2017,"Virginia
5 seed, R32",7,"117.2
12","81.4
3",".9851
1","56.1
23","39.3
3","14.5
8","26
6","34.3
67","22
10","27.9
302","23.3
15","54.9
37","35.6
2","39
47","29.6
53","60.2
351","1.6
8"
2016,"Villanova
2 seed, CHAMPS",6,"110.9
63","79.4
1",".9790
1","52.4
93","37.2
3","13.9
12","25.6
7","32
124","35.2
291","27.7
320","27.9
37","59.7
9","36.2
4","30.2
259","26
17","68.4
256","1.3
5"
2015,"Kentucky
1 seed, Final Four",7,"112.6
32","72.6
1",".9936
1","52.5
67","32.3
1","17
48","27.1
9","48.1
1","30.1
136","40.4
134","31
81","54.2
34","28.8
1","32.3
201","26.2
28","64.5
262","1.6
6"
2014,"Pittsburgh
9 seed, R32",7,"123.9
6","89.6
11",".9765
1","54.3
50","45.2
65","14.8
31","21.7
35","42.2
9","24.2
11","42.4
167","36.5
106","53.2
61","41.4
25","37.9
68","35.3
213","66
295","1.4
12"
2013,"Florida
3 seed, Elite Eight",6,"124.7
1","82.8
10",".9911
1","54.3
31","39.6
12","19.1
102","25.8
23","43.2
7","28.4
71","44.5
60","23.6
14","54.5
22","36.1
6","35.9
96","32.2
137","64
277","1.6
5"
2012,"Wisconsin
4 seed, Sweet Sixteen",6,"112.9
20","78.6
2",".9847
1","56.7
16","34.9
1","13.6
3","21.5
164","33.3
148","20.7
2","15.9
344","26.2
25","49.6
109","34.5
3","44.2
16","24.1
10","59
345","0.6
37"
2011,"Kansas
1 seed, Elite Eight",6,"119.8
3","79.4
4",".9913
1","63.8
1","39.4
9","15.8
14","24.5
55","35.6
96","31.1
132","39.7
161","23.9
12","65.6
1","43.5
79","39.8
37","21.1
1","70.4
108","1.1
15"
2010,"Duke
1 seed, CHAMPS",6,"117.9
7","83.4
9",".9816
1","52.6
73","39.2
5","16.2
21","21.9
139","43.2
11","32
140","33.1
245","36.3
157","48.2
159","38.7
14","40.8
38","27.2
37","70.2
119","1.1
8"
